tweetid,user,content,date,lang,value
7.7421E+17,85187781,"@porlagoma bueh, recién entrando a twitter y me puse a verlos.... YA ME TERMINÉ DE DESPERTAR"", fuerte, el de GiancarloStanton ufff",Fri Sep 09 11:36:26 +0000 2016,es,NEU
7.74222E+17,86568244,"@Brendadema Hola Brenda, por favor envianos tu mail de usuario por MD para que veamos qué sucedió ya que la promo está activa Saludos.",Fri Sep 09 12:26:25 +0000 2016,es,NONE
7.68646E+17,2701106364,@Adri_tranqui si ? jaja muy bueno ! miré mucha tele y me vi muchas series las veíamos con mi viejo aún lo hacemos de vez en cuando,Thu Aug 25 03:05:43 +0000 2016,es,P
7.67553E+17,2473180824,@pastafruli Te hamo juerte guachita!,Mon Aug 22 02:46:15 +0000 2016,es,P
7.69301E+17,1288549753,lo único que quiero es saber si sharon sabe a quien se refiere rey y si matteo se queda o se va nada más disney #TerminoSoyLuna,Fri Aug 26 22:29:30 +0000 2016,es,NEU
7.69187E+17,2701106364,@diebamu debe tener la duda si convoca a los de la altura o a los del llano o los que se adaptan a las dos !,Fri Aug 26 14:58:15 +0000 2016,es,NONE
7.68454E+17,35269540,@ber_uy Lindo buzo por cierto,Wed Aug 24 14:25:25 +0000 2016,es,P
7.69361E+17,2509306220,@wilfredotuntun se vienen tiempos dificiles,Sat Aug 27 02:28:18 +0000 2016,es,N
7.68985E+17,397379574,@rickymanjarrez miraré el programa completo y ya esta gracias me encanto lo que escribiste sobre marc y jlo en la foto q RT Gracias!!,Fri Aug 26 01:35:59 +0000 2016,es,P
7.69026E+17,230296784,Pensar en esa posibilidad nada mas me parte al medio y no quiero saber si llega a ser asi como me puedo llegar a poner,Fri Aug 26 04:16:30 +0000 2016,es,N
7.6902E+17,1317395240,No me dejan irme tranquilo,Fri Aug 26 03:54:57 +0000 2016,es,N
7.68677E+17,293627746,"@SoyAria Hermosos! Hoy Cris fue tt otra vez, como en cada final de GH, a años de q haya sido ganador. Fue el mejor!",Thu Aug 25 05:10:31 +0000 2016,es,P
7.683E+17,1100455837,Todo depende de ti. La ayuda es buena Pero todo lo que pasa y va a pasar en tu vida va a depender únicamente de vos,Wed Aug 24 04:14:32 +0000 2016,es,P
7.5731E+17,2701106364,@_anatabeira que bien ! cada vez que salgo la gente me saluda pero el otro día salí con la del FA y fue impresionante !,Sun Jul 24 20:23:55 +0000 2016,es,P
7.57283E+17,2701106364,"@perezfedullo si ! y el que votaba observado era uno adentro de otro, pero si votó mucha gente y eso esta muy bueno !",Sun Jul 24 18:34:14 +0000 2016,es,P
7.57378E+17,35709180,"@pablosilart En la escuela te deberían haber enseñado que lo sano es tratar de superarse a uno mismo, no mirar a los otros @JavierdeHaedo",Mon Jul 25 00:52:40 +0000 2016,es,N
7.57413E+17,513756113,"@GScharrua ¿Y tu? ¿Contame que les dan a las focas en el zoo? jaaja Gracias por hacerme reir gratis, TODO LO DEMÁS TU GOBIERNO LO COBRA",Mon Jul 25 03:12:13 +0000 2016,es,N
7.57958E+17,354071879,@DeLaFigurita Si obvio! unos patines,Tue Jul 26 15:19:02 +0000 2016,es,NONE
7.5693E+17,2193384595,Tarde con mi peque #Broh,Sat Jul 23 19:12:54 +0000 2016,es,P
7.56951E+17,2971785257,@PPTeamLesslie me pone taan triste q no puedan venir a uruguay o no quieran y no hagan un show asi ojala vengan y hagan algo como en arg,Sat Jul 23 20:36:55 +0000 2016,es,N
7.56521E+17,86568244,@Will2380 ¡Hola! Cada uno es para una funcionalidad de la app Si nos envias un mail por privado te lo podemos elicar al detalle!,Fri Jul 22 16:08:10 +0000 2016,es,NONE
7.56549E+17,7.55121E+17,"@agusti_pena No te creas Agustín, te paso el dato q antes habían 7 mujeres x cada hombre y ahora hay más hombres q mujeres, así q PILAS",Fri Jul 22 18:00:16 +0000 2016,es,NEU
7.57704E+17,1904681630,"@Enana1515 Lo se,pero ahora entiendo lo que es querer y no ser querida,yo se que voy a superarlo y estar bien,mientras nunca me dejes vos",Mon Jul 25 22:26:57 +0000 2016,es,NEU
7.57703E+17,1904681630,"@Enana1515 NO TE LO MERECES ESO ESTA CLARO,pero de esto se trata de superar todo yo estoy al firme mami y ya van a llegar las buenas",Mon Jul 25 22:23:59 +0000 2016,es,P
7.5772E+17,54392331,"X un error ""inexcusable"" d un fiscal y una jueza q absolvieron a un pedofilo,ellos fueron trasladados y no sancionados. Justicia? No hay.",Mon Jul 25 23:32:17 +0000 2016,es,N
7.56663E+17,7.51554E+17,yo soy una persona que cuando es sabado o domingo se queda dormida hasta las 1 o 2 de la tarde jajajja :V,Sat Jul 23 01:31:18 +0000 2016,es,P
7.56701E+17,1288549753,"me gustaría volver a sentir q tu me miras, sentirse la única persona en tu vida, rozar tu cuerpo sin preocupación alguna y ver como me",Sat Jul 23 04:01:42 +0000 2016,es,P
7.56313E+17,15374105,@acules cómo lo subiste? Yo lo único que puedo hacer es dar dar el cel contra la pared y no sube de nivel nunca,Fri Jul 22 02:19:14 +0000 2016,es,N
7.5589E+17,2586214802,"@louisaphire mi botella de agua fav gracias por ser tan linda conmigo y siempre apoyarme en todo, te mereces lo mejor te amo y te extraño",Wed Jul 20 22:18:25 +0000 2016,es,P
7.56168E+17,3435488417,Que hermoso esta el solsito,Thu Jul 21 16:43:48 +0000 2016,es,P
7.5577E+17,1549364509,Hoy la veo poquito creo,Wed Jul 20 14:23:16 +0000 2016,es,NEU
7.75596E+17,3293916292,"@DrLMelchor Muy bueno lo de ""... y creemos una Real Sociedad de Cientificos... Bueno, o Real o no!"". Muy de acuerdo con lo que dices",Tue Sep 13 07:26:05 +0000 2016,es,P
7.58131E+17,240854193,Estoy twitteando mucho para olvidarme que cerca de casa esta lleno de cosas voladas y tengo el mar a punto de romperme la ventana,Wed Jul 27 02:43:50 +0000 2016,es,N
7.55547E+17,172875685,"@ValenTamara3 es una adolescente lesbiana, re callada, rara. No está mal la película pero como te digo, capaz no te cuelga. De nada",Tue Jul 19 23:35:28 +0000 2016,es,NEU
7.59841E+17,2701106364,@joelalsolo ta bien hablo de penarol ! viste que le ganamos a lanús que fue el campeón de argentina y ganamos la copa río de la plata ?,Sun Jul 31 19:58:08 +0000 2016,es,P
7.5984E+17,7.18566E+17,@tatyynacional pero si estoy sentado,Sun Jul 31 19:56:56 +0000 2016,es,NONE
7.59865E+17,2701106364,@GroseroKesman @perezfedullo seguramente nacional se dejó ganar por que el q tenía que festejar era fénix ! por lo menos así lo veo yo !,Sun Jul 31 21:36:25 +0000 2016,es,NONE
7.60685E+17,3312758022,@sebtsb ay seb como haces para usar zapatos sin medias otzea a mi me lastiman todo arriba de él talón btw esos son los Adidas que quiero.,Wed Aug 03 03:52:09 +0000 2016,es,NEU
7.5917E+17,35709180,"@dannyviLe Lo que no es razonable es que tres encuestas, hechas en la misma fecha, le den 2%, 3% y 8% Todo puro humo.",Fri Jul 29 23:33:55 +0000 2016,es,N
7.59147E+17,1626527184,Me sigo sintiendo re agotada,Fri Jul 29 22:03:23 +0000 2016,es,N
7.59563E+17,2950315469,Direectv y otros momentos lindos,Sun Jul 31 01:33:08 +0000 2016,es,P
7.60333E+17,2186271259,"@Alita_ntvg Te amo con todas las letras.. halla y acá. En buenas y no tanto. Ahi estoy, siempre con vos. Como vos conmigo, bombonazo.",Tue Aug 02 04:33:42 +0000 2016,es,P
7.59854E+17,2701106364,bien @PlazaColonia ! no ganaron y no perdieron x goleada en los 90 y ganaron por penales ! no era lo q quería pero bien x ustedes,Sun Jul 31 20:52:45 +0000 2016,es,P
7.59948E+17,2921801049,"@auronftomg lol, eso es horrible En Green Day dijeron que este año sale uno nuevo, ya me estoy impacientando y el hype is real",Mon Aug 01 03:06:25 +0000 2016,es,NEU
7.60856E+17,35709180,"@perroju666 Tenemos, pero (1) no dura nada, porque la carga es terrible y (2) reemplazar las baterías nos sale carísimo y nunca hay plata",Wed Aug 03 15:12:30 +0000 2016,es,N
7.62807E+17,2874585166,@EuniceCastroC a mi tambien me gusta la primera ves que la vi fue en una revista de national geographic .tendria 10 años besos bella,Tue Aug 09 00:23:45 +0000 2016,es,P
7.63165E+17,275618466,Che náutico! ahora vas a saber lo que es sentarse ante un juez. Mirá que se mueve la cosa por suerte para nosotros #JusticiaPorSofía,Wed Aug 10 00:08:35 +0000 2016,es,NEU
7.63202E+17,1099131630,Los mejores abrazos sin dudas,Wed Aug 10 02:34:27 +0000 2016,es,P
7.63222E+17,48771072,@mvdsister @elpaisuy my god!!! Se sabe si hay alguna tolerancia? O venderemos el auto xa pagar multas? Cdo tienen razon la tienen,Wed Aug 10 03:53:14 +0000 2016,es,N
7.62796E+17,2701106364,@joelalsolo a mi sobrino mas chico se le había roto la t la g y la b ahí eras un poco complicado hablar con el !,Mon Aug 08 23:41:59 +0000 2016,es,N
7.63188E+17,214124927,Igual nadie quiere conmigo ajjajaj,Wed Aug 10 01:39:23 +0000 2016,es,N
7.65278E+17,160428705,Esto de tener un hijo ya grande es una ventaja .... lo podes mandar a la sociedad a buscarte los remedios ... cco @nicolascabrera4,Mon Aug 15 20:05:49 +0000 2016,es,P
7.6459E+17,2701106364,@_anatabeira no ! lo que pasó es que me agarró en av.giannattasio al lado de TI y no en lugares lindos como a ustedes !,Sat Aug 13 22:31:45 +0000 2016,es,N
7.64668E+17,2921801049,"@AYATOlSMINE @LEVIFANCY Es un header de arctic monkeys pero está re bueno el icon, lo hice hace como 3 años, lo uso desde el año pasado",Sun Aug 14 03:41:07 +0000 2016,es,P
7.62791E+17,1073957455,"Loco yo desde el sábado estoy pensando en lo divino que es el hermano de Vanesa Britos jajajaja, eu queria uma foto com ele nao com ela",Mon Aug 08 23:20:52 +0000 2016,es,P
7.65345E+17,358595970,"@cuervotinelli @MathiCalfani lo mejor para vos De un fanático ""azulgrana"" (de la UA)Te lo merecés...Sos tan crack que zafaste del clásico",Tue Aug 16 00:30:54 +0000 2016,es,P
7.55782E+17,157081684,"Primero fue buscando a Nemo, hace un par de semanas a Dory y ahora a un Pokemon Jonny la gente esta muy loca!!!!",Wed Jul 20 15:11:04 +0000 2016,es,N
7.54928E+17,2234845914,el agu me dejo solo,Mon Jul 18 06:37:11 +0000 2016,es,N
7.55181E+17,293627746,"@gen_ghibli Vi Kaze Tachinu hace dos noches... Me encantó, aunq es diferente a lo habitual de Miyazaki. Y lloré en el final...",Mon Jul 18 23:22:24 +0000 2016,es,P
7.59016E+17,2505062959,cartoon network censura las parejas gays en steven universe y no censura el humor negro de gumball o la violencia de dragon ball z hdps,Fri Jul 29 13:23:04 +0000 2016,es,N
7.58991E+17,2597033154,"¡¡Buenos días!! Ya somos 996 en el canal, así que hoy tendré que grabar mi reacción llegando a los 1K Que pasen un #BuenViernes",Fri Jul 29 11:42:02 +0000 2016,es,P
7.58985E+17,237116452,"Solo porque es viernes yo sigo en la cama y me da igual llegar tarde... Igual, ya me estoy levantando...tampoco vamos a abusar...",Fri Jul 29 11:19:41 +0000 2016,es,NEU
7.55596E+17,2701106364,@MarioGorgo @Dennis08481468 @huesopintos eso fue lo peor ! y el cooper no me lo compro ni loco ! tengo mejores opciones y mas baratos !,Wed Jul 20 02:52:43 +0000 2016,es,N
7.55238E+17,2967006717,Un Gorditoo lleno de sentimientos,Tue Jul 19 03:11:04 +0000 2016,es,P
7.58292E+17,3793617496,"Tranquila, lo vas a superar.. solo estaras tristes unos dias. .desahogate, llora.. no hables con nadie.. solo sacalo. Pronto estaras bien",Wed Jul 27 13:24:49 +0000 2016,es,P
7.58466E+17,1912939530,"Están buenos los temas de biología, se entienden. Lastima que la divina de Cecilia siempre busca la forma de sentarnos a todos",Thu Jul 28 00:56:18 +0000 2016,es,NEU
7.58266E+17,237116452,Buen diaaaa... Al menos hoy voy más tarde al trabajo porq ayer me quedé más de media h dsp de mi hora de salir...,Wed Jul 27 11:42:46 +0000 2016,es,P
7.6674E+17,293627746,"@marianabolonini es la sensación q siempre he tenido fte a la crueldad y el horror, además de la rabia... por qué? Es incomprensible...",Fri Aug 19 20:53:14 +0000 2016,es,N
7.66713E+17,205354624,"Hoy se intento hablar de cannabis en Esta boca es mía y fue algo incómodo, hubo q elicarle a una chica trans cómo discrimina a usuarios",Fri Aug 19 19:06:18 +0000 2016,es,N
7.66725E+17,429318940,@PabloMonti1 me esta pasando lo mismo hace una semana y n tomo mate estaré atenta a los doc matriculados q te den respuestas por acá jaa,Fri Aug 19 19:53:48 +0000 2016,es,NEU
7.66437E+17,2409633530,"Extraño tanto a mi Bro Ale!Las salidas,los consejos,las jodas con la peña! Todo me hace tremenda falta!",Fri Aug 19 00:48:57 +0000 2016,es,N
7.65646E+17,3085816640,flor -que lindo lo que escribiste en tu tuit fijado -no se quien es pero espero que lo abraces -linda cuenta !!¡,Tue Aug 16 20:26:55 +0000 2016,es,P
7.67109E+17,28833624,"""La realidad es mucho más fuerte que la ficción, la realidad huele, tiene familiares llorando"" @mikelayestaran Gracias por la skype-call!",Sat Aug 20 21:22:00 +0000 2016,es,N
7.67021E+17,58130478,"Curioso. Entre ""a mi nadie me pautea"" y ""me entere por la prensa"", ahora queremos un periodista lider de opinion presidente. Genial",Sat Aug 20 15:30:25 +0000 2016,es,N
7.67041E+17,226641811,"@mor_ticia no aguanté a la trotsky, sali a fumar y aparecieron unos tipos re cargosos a hinchar los huevos asi que me fui antes",Sat Aug 20 16:51:18 +0000 2016,es,N
7.66465E+17,2509306220,"Se siente la risa a carcajadas de fondo ,de la madre y encima aplauden ,un horror con esos amigos ,no precisas enemigos nena",Fri Aug 19 02:42:35 +0000 2016,es,N
7.66433E+17,184082364,@pulsionparcial Derrota por amplia diferencia?,Fri Aug 19 00:32:25 +0000 2016,es,NONE
7.66496E+17,2509306220,"@VeronikMGWV hoy dia tiene 9 meses mañana te paso fotos actuales ,si es un zorro adorable ,llego a mi vida en un momento justo lo adoro",Fri Aug 19 04:43:37 +0000 2016,es,P
7.6645E+17,722603144,"No compitas con nadie, no tienes que demostrarle nada a nadie, no tienes que llegar a donde otro llegó, solo superar tus propios límites.",Fri Aug 19 01:43:19 +0000 2016,es,P
7.6604E+17,1463254266,@ElCrull Jajajaja a que mala impresión,Wed Aug 17 22:30:26 +0000 2016,es,N
7.65657E+17,263173895,En la Red dijeron que si llega pablo Perez le abren la puerta de salida a Mendez maal mal mal deben jugar los 2 junto a Toro,Tue Aug 16 21:11:49 +0000 2016,es,N
7.62342E+17,2519397481,Cuando la comunidad del lol es una mierda  Pero la de Pokémon es buenísima Pero salió Pokémon GO y ahora son todos possers,Sun Aug 07 17:38:58 +0000 2016,es,N
7.62405E+17,2509306220,@UnBolasTristes En eso tenes razon jjaaa,Sun Aug 07 21:48:22 +0000 2016,es,P
7.61932E+17,48771072,@AlmaHistorica doy fe son espectaculares!!,Sat Aug 06 14:28:48 +0000 2016,es,P
7.60953E+17,143249051,"@andyygmes eres como muy tierna jajaja justo veía el ""40 cosas"" me lo pase genial! Si algún día voy a Berlín sería genial verte",Wed Aug 03 21:37:30 +0000 2016,es,P
7.61356E+17,160428705,#Fiebre #dolorentodoelcuerpo... con #hijobello de enfermero e #hijospeludos,Fri Aug 05 00:21:43 +0000 2016,es,N
7.62109E+17,7.07984E+17,@OTROGUAPOSUELTO @ModaDiceEs @vine YA ME INSTALE LA APLICACIÓN Y ME COMIÓ EL COCO !! seré un inmaduro? Tengo 34 pirulos : p !!,Sun Aug 07 02:12:20 +0000 2016,es,NEU
7.61821E+17,2372488543,Informatica (computación) - 8 No se porque tengo esa nota si yo lo único que hago es entrar a hangouts y chatear con gente rara,Sat Aug 06 07:09:11 +0000 2016,es,NEU
7.77234E+17,6213902,"@Cybertario Es como ""no escupir para arriba"", me extraña que el corporativismo (o las transnacionales lo hagan ir a lo literal",Sat Sep 17 19:51:56 +0000 2016,es,N
7.77345E+17,2701106364,@vmayo72 yo si esta lindo me voy pa la feria ! hoy fui y lo único que compré fueron 5 paltas a 100 mangos,Sun Sep 18 03:13:22 +0000 2016,es,P
7.77604E+17,839950411,"@TownGamePlay Townsitoo, podrías saludar a mi mejor amiga Titi? es animatowner, y está pasando por un mal momento familiar Gracias!",Sun Sep 18 20:23:13 +0000 2016,es,NEU
7.77883E+17,4550325094,El propio dolor de panza,Mon Sep 19 14:51:02 +0000 2016,es,N
7.78944E+17,7.07984E+17,@cuervotinelli @elchatoprada @hoppefede @ElchuecoSuar Buenos días !! ...,Thu Sep 22 13:06:46 +0000 2016,es,P
7.78898E+17,42067539,"@visigoten el folio lo tenía en cosas de su oficina mi padre, se jubiló y di con el. vi si quién es coordinador general!!",Thu Sep 22 10:04:04 +0000 2016,es,NONE
7.78842E+17,293627746,"@zeta_dos Ojalá todo sea para bien, pero veo en este gobierno vicios distintos al anterior, pero fallos en fin. Pero ya se verá q pasa.",Thu Sep 22 06:24:23 +0000 2016,es,NEU
7.78758E+17,2950315469,Leyendo el fin de los tiempos y escuchandi mumford & sons... todo esta perfecto,Thu Sep 22 00:49:57 +0000 2016,es,P
7.78422E+17,7.21731E+17,"En mi vida siempre pasan personas, De esas que valen oro, pero nunca vas a tener. De alguna manera es muy lindo ilusionarse",Wed Sep 21 02:32:52 +0000 2016,es,NEU
7.78408E+17,35709180,"@_pepepar Bueno, eso viene por el lado de los apellidos. Hay quien usa apellido doble porque el 2do tiene más alcurnia que el 1ro",Wed Sep 21 01:40:20 +0000 2016,es,NEU
7.78581E+17,35709180,"@leonardo_veglio Tu argumento es un poco personal. Pero sí, las cosas se terminan. A algunos en 115 años, a otros en 15",Wed Sep 21 13:05:52 +0000 2016,es,N
7.78444E+17,7.52672E+17,"@VickyMarquez__ Si le pareces fea no te la comenta , te quiere re garchar pero no sabe como decirlo y un ""Linda"" no queda",Wed Sep 21 04:00:07 +0000 2016,es,NEU
7.78277E+17,253775674,"Voy a intentar jugar al truco, al que le toque jugar contra mi internet lento, perdóname, no es mi culpa",Tue Sep 20 16:57:49 +0000 2016,es,N
7.7927E+17,35709180,"@Maapolinski Bastante ridículo. Incluyendo eso de que parte de la morosidad es de ""afiliados que murieron"" y no fueron dados de baja",Fri Sep 23 10:42:40 +0000 2016,es,N
7.79194E+17,2509306220,esa no me gusta sorry,Fri Sep 23 05:39:44 +0000 2016,es,N
7.8401E+17,35709180,".@cocoramazzi Ja, ja, muy gracioso. Teniendo en cuenta que tu posteo inicial es el elogio de un artículo lleno de odio y resentimiento.",Thu Oct 06 12:40:01 +0000 2016,es,N
7.8344E+17,35709180,@RufinaCamejo Ud. dele que Ud. puede. Y si te critican les tirás que lo hacen porque sos mujer y estás salvada @diego_vallarino,Tue Oct 04 22:55:22 +0000 2016,es,NEU
7.84142E+17,7.07984E+17,@JuaniTinelli_1 Tqm !! Tas re grande y linda Besos para tus hermanos  !!,Thu Oct 06 21:22:46 +0000 2016,es,P
7.84526E+17,2296700897,@2891891cap me qedo en lo de joaco tengo q agitarlo para ir algo difícil q vaya y q me deje ir sola menos asi q no se,Fri Oct 07 22:49:33 +0000 2016,es,NEU
7.84712E+17,3320649973,No puedo creer que estoy llendo por una hora sola al liceo nono que onda voy por 45 min nada mas mejor no podia ser,Sat Oct 08 11:09:51 +0000 2016,es,P
7.84355E+17,7.07984E+17,@elchatoprada @hoppefede Buen día !!,Fri Oct 07 11:28:58 +0000 2016,es,P
7.84354E+17,7.07984E+17,"@cuervotinelli Buen día P@!! , excelente Viernes , te veo hoy a las 23:00 hs .TQM  !!",Fri Oct 07 11:27:24 +0000 2016,es,P
7.84353E+17,3356606351,"@AlpioCosta hola, hace mucho q no t veo @arribaarg q pasó? te veía todos los dias desde Uruguay.la verdad q se t extraña chiquilin. volvé",Fri Oct 07 11:21:14 +0000 2016,es,NEU
7.83479E+17,7.07984E+17,"@cuervotinelli @elchatoprada @hoppefede Recién llegue del gym VOLANDO !! , así los veo , duchaso y toy listo  !!",Wed Oct 05 01:28:21 +0000 2016,es,P
7.84956E+17,153202003,Y un poquito de vino..,Sun Oct 09 03:17:10 +0000 2016,es,NEU
7.8496E+17,300340436,"Plan familia a full, después una linda recorrida por Argentina. ¡Volvimos nuevos y contentos! ¡Viajar y tocar lo máximo!",Sun Oct 09 03:33:21 +0000 2016,es,P
7.85305E+17,28833624,@daphneedenis corazón lleno de odio!,Mon Oct 10 02:23:28 +0000 2016,es,N
7.83273E+17,7.07984E+17,"@cuervotinelli Buen día para el Conductor televisivo número 1 de América  .TE AMO CON TODO MI CORAZÓN P@;3, te veo luego a las 22:30hs",Tue Oct 04 11:51:29 +0000 2016,es,P
7.80783E+17,2577653023,@ElDemonioAzteka prefiero la verdad por más dura que sea y no vivir en el engaño de la mentira !!! Te mando un beso desde Uruguay,Tue Sep 27 14:55:04 +0000 2016,es,NEU
7.80795E+17,2701106364,@TipicaLoca que lindo ! en casa entró uno y no podía salir y se dio contra un vidrio y lo agarre para sacarlo y son super suavesitos,Tue Sep 27 15:42:23 +0000 2016,es,P
7.8077E+17,509285321,@vivianagarcia73 @anitafb Muchas gracias Sandra por tu ayuda y esperamos que los tips sean útiles para Anita. Seguimos en contacto!,Tue Sep 27 14:05:19 +0000 2016,es,P
7.80767E+17,35709180,"@cmenghi A menos q seas empleado de Riogas, Alur, INR, IMPO, vicepresidencia o cosas así. Tener título está sobrevalorado @Nico_Selser",Tue Sep 27 13:53:02 +0000 2016,es,N
7.80739E+17,7.07984E+17,@cuervotinelli Muy buenos días para mi papá que lo adoro con todas mis fuerzas  ... Excelente Martes !!!,Tue Sep 27 12:00:22 +0000 2016,es,P
7.79862E+17,337280454,".@sebafle @diego_vallarino jaja a mi favor debo decir q tampoco es un descubrimiento mío, sino de mi hermano,y aseguro q es independiente",Sun Sep 25 01:58:00 +0000 2016,es,NONE
7.79862E+17,35709180,"@mister__lemon No, claro que no. Es convenir aspectos puntuales en los que haya acuerdo. Helado y con barquillo, pero varía el gusto",Sun Sep 25 01:57:56 +0000 2016,es,NEU
7.79794E+17,1569175345,"Haciendo el Notitest de @TelenocheOnline, me salió ""Eerto en Noticias"". Que veterana que estoy",Sat Sep 24 21:27:36 +0000 2016,es,N
7.79817E+17,7.64993E+17,Y estavamos los dos buscando la manera de desir quien de los dos da el primer paso.!! #ESCUCHANDO #DOSOGAS Sola En Casa...,Sat Sep 24 22:56:57 +0000 2016,es,NEU
7.79819E+17,35709180,"@MHackem No Cecilia, lo que hacemos está muy lejos de ninguna aplicación práctica. No me arrogues méritos que no tengo",Sat Sep 24 23:05:19 +0000 2016,es,N
7.79844E+17,35709180,"@felipefskl No necesariamente. Quizá se necesita alguien que apueste a ganar mintiendo, por única vez, y haga lo que hay que hacer",Sun Sep 25 00:43:29 +0000 2016,es,NEU
7.80155E+17,2701106364,@TipicaLoca lindas ! y son super mansas ! las fui apurando tocándole las patas traseras y se tomaron su tiempo ! no las apuras mucho...,Sun Sep 25 21:20:23 +0000 2016,es,P
7.80196E+17,18817245,"@golden254 @yapeze Jajaja! Sí, leí! Creo que por acá no los tendremos hasta el 2018, por lo menos.",Mon Sep 26 00:02:36 +0000 2016,es,NONE
7.81269E+17,48771072,@Lpauletti Comprobado: Se puede estar en el fondo de un pozo...y seguir cavando la propia fosa. Y aun hay gte q definde,Wed Sep 28 23:08:10 +0000 2016,es,N
7.81269E+17,7.07984E+17,"@cuervotinelli miércoles, sábados y domingos son los peores días para mi TE EXTRAÑO !!",Wed Sep 28 23:07:20 +0000 2016,es,N
7.81181E+17,153941877,La negra Mel que se haga del Bolso tamos todos los compadres y ella de galli deja nos re gozariamos en la abdon negra,Wed Sep 28 17:15:21 +0000 2016,es,NEU
7.81265E+17,789747349,"@BrandonBouer aunque ya no hablemos,no me olvidé de tu cumpleaños #Felíces21 Bouer!!,espero que te la hayas pasado de lo mejor,saludos",Wed Sep 28 22:51:17 +0000 2016,es,P
7.80053E+17,253775674,Necesito ir a la peluquería pero no quiero ir a un que me deje el pelo horrible como la mayoría,Sun Sep 25 14:34:36 +0000 2016,es,N
7.79761E+17,293627746,"@quijanojor jjajajaja. Mi segundo amor es Rampla, el equipo de mi papá querido... Gte de barrio, obreros, flia.",Sat Sep 24 19:14:48 +0000 2016,es,P
7.80927E+17,139862631,@htgawmurphy no vi el nuevo cap y no lo voy a hacer hasta que digan que caleb está en al menoS UN CAP de la s2,Wed Sep 28 00:26:36 +0000 2016,es,N
7.80924E+17,385686569,"La supuesta federación de estudiantes que opina y toma postura en cuanto tema de izquierda hay, no dice nada del universitario Sendic",Wed Sep 28 00:14:37 +0000 2016,es,N
